row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
1621,37,B,5557,16250,1099,21361,1411,16,5
1622,51,D,2509,6350,530,27670,1753,13,1
1623,39,D,2804,4317,547,21885,1924,14,1
1624,24,B,6556,24697,1237,18300,1537,17,6
1625,51,A,5829,21405,1218,41769,1560,18,5
1626,47,D,3582,6873,432,28116,1487,11,3
1627,54,A,4353,19813,1063,18009,2180,18,3
1628,41,B,6967,29150,1298,23586,1645,14,6
1629,34,B,8302,27591,1099,25490,2154,19,7
1630,41,E,8368,58014,1805,37044,1187,19,8
1631,38,C,3249,7545,840,38100,2009,16,2
1632,40,D,2551,5779,528,24900,1694,13,1
1633,34,B,6866,22900,1131,30222,1423,22,6
1634,44,E,7696,10341,1426,32183,1687,17,7
1635,37,C,2648,6651,839,38872,1869,17,1
1636,46,E,7818,19112,954,21432,2038,19,6
1637,45,A,4944,19524,510,37084,1839,15,4
1638,47,E,8364,23829,2173,24387,1720,23,7
1639,32,B,6818,20844,1449,26967,1704,17,6
1640,49,C,3301,7478,871,23967,1847,13,2
1641,42,E,6338,1997,1526,19578,1592,18,5
1642,42,D,1988,3682,437,31404,1440,9,1
1643,46,A,4053,20537,1258,32025,1952,19,3
1644,27,D,3837,9382,429,33161,1950,14,2
1645,43,C,3821,10490,817,34996,1412,15,3
1646,22,A,5290,30553,855,38446,1417,16,4
1647,44,B,5498,17072,1314,27922,1671,19,4
1648,24,A,4601,40436,906,39404,1544,18,4
1649,40,A,5314,26462,1225,37600,2074,18,4
1650,53,C,3583,7924,826,28465,1966,15,2
1651,18,A,4635,34178,1226,28614,1650,20,3
1652,44,C,2991,2769,721,33800,1665,16,2
1653,28,E,7220,56461,2089,24450,1980,19,6
1654,42,A,5131,17675,918,17927,1450,16,4
1655,29,D,2255,5253,495,22958,1915,13,1
1656,44,B,8274,21843,1228,20434,1644,17,7
1657,30,E,7202,7211,1811,28731,1816,17,6
1658,44,E,7854,60191,1930,40001,2249,22,6
1659,56,B,6293,23839,1126,23349,2098,20,5
1660,40,E,7941,198,1841,37907,2082,19,6
1661,40,B,5546,22444,1189,22630,1728,17,4
1662,39,B,7284,23781,1092,28661,1128,17,7
1663,49,D,868,2391,519,21233,2081,12,0
1664,39,D,2145,5080,507,37443,1891,12,1
1665,30,D,2911,4514,512,31499,1945,11,1
1666,29,E,7349,26796,1331,33260,1344,16,7
1667,47,E,6874,24056,1554,27882,1764,24,6
1668,33,E,8061,54099,1483,39624,1679,15,7
1669,28,E,7697,62369,2126,22249,1440,18,7
1670,42,B,6800,27530,1062,20182,2040,15,5
1671,39,E,9197,33728,2826,29935,1785,19,8
1672,35,C,3990,23,750,37463,2008,12,2
1673,45,B,7470,21860,1266,29090,1795,20,6
1674,46,B,7393,12387,1213,24803,1710,17,6
1675,41,E,8633,81478,2026,25042,1782,22,7
1676,58,A,5668,33926,1117,28466,1953,17,4
1677,25,D,3665,7141,499,28648,2055,10,2
1678,48,A,5412,32239,1102,25143,1902,19,4
1679,28,A,4128,17408,972,28720,1522,15,3
1680,14,C,3929,4624,591,23992,1547,14,3
1681,37,C,4166,6727,949,16489,1682,14,3
1682,49,E,7333,35176,1918,30915,1485,16,6
1683,41,E,7845,59767,1617,41524,1656,15,7
1684,30,C,2764,7134,863,33721,1625,17,2
1685,66,A,4793,25279,730,16169,1251,18,4
1686,48,A,4713,26331,873,33029,1071,17,4
1687,60,D,1725,880,530,33673,1881,7,0
1688,53,E,8939,51650,1490,41273,2001,19,7
1689,15,C,3279,11462,649,31349,1731,15,2
1690,35,E,7988,34636,1464,30465,1604,20,7
1691,33,B,6582,17416,1094,18020,905,17,6
1692,43,C,4169,14046,846,35030,2104,14,3
1693,36,D,2845,7649,521,18662,1773,8,2
1694,41,D,2546,8338,592,19293,1878,14,1
1695,40,A,5242,27428,1187,28145,931,16,5
1696,42,D,3145,6097,462,25065,1668,13,2
1697,51,C,2344,5874,819,29733,1423,17,1
1698,60,B,7036,12756,1335,28584,1727,16,6
1699,52,C,3845,1277,732,36695,1621,13,3
1700,43,D,1708,2720,460,17493,2107,13,0
1701,29,C,3632,356,812,20438,1494,15,3
1702,48,C,3710,9764,808,32926,1376,16,3
1703,44,B,7769,8475,1171,19828,1335,16,7
1704,28,A,4784,19141,1470,29965,1387,16,4
1705,50,A,5147,16552,1292,34330,1999,13,4
1706,40,B,7696,17624,1129,40201,1650,15,7
1707,33,D,1213,1932,466,28689,1887,17,0
1708,41,C,3365,10721,743,39721,1802,15,2
1709,35,A,5439,23309,889,21657,1769,21,4
1710,48,E,7063,47109,1706,29945,1915,18,6
1711,39,D,2519,2974,491,30258,1717,15,1
1712,27,C,3874,805,889,23373,1895,18,2
1713,34,C,4268,4003,998,35792,2127,14,3
1714,38,B,6265,13504,1252,17333,1068,19,6
1715,42,A,5049,29399,1000,38319,2264,16,3
1716,34,C,3838,7696,584,36158,1796,14,3
1717,54,D,3056,6398,436,16726,1960,12,2
1718,50,B,7876,22218,1203,34873,2070,15,6
1719,50,E,8043,57208,1661,20971,1116,18,7
1720,40,B,7330,12218,1199,36997,1969,18,6
1721,40,B,8131,18957,1277,38653,1768,18,7
1722,46,E,8527,76990,1593,29375,2254,17,7
1723,47,E,7319,6667,1754,30870,2242,17,6
1724,47,D,1299,3251,544,31520,1783,10,0
1725,38,B,7201,36042,1081,19318,1576,19,6
1726,38,D,2934,5390,503,27339,1715,11,2
1727,32,D,4336,9557,491,30264,2007,11,3
1728,41,C,2735,304,800,22947,1441,16,2
1729,48,E,6981,31276,1713,42002,1031,19,6
1730,43,C,3399,7577,986,22534,1986,16,2
1731,30,C,3963,2663,701,30698,1924,16,3
1732,40,D,2660,4502,547,33647,1376,11,2
1733,38,D,957,1964,490,39951,1925,15,0
1734,37,A,5053,29680,1118,25059,1968,18,4
1735,32,A,5949,15517,1090,24408,1391,17,5
1736,41,D,2986,5206,531,26912,1825,15,2
1737,36,B,7951,22339,1118,33015,1784,18,7
1738,38,C,3550,11212,849,20580,2057,16,2
1739,39,D,1642,5583,453,40060,1304,11,1
1740,49,A,5578,30897,1242,35696,1940,17,4
1741,34,B,6974,17700,1286,24859,1879,18,6
1742,39,A,5941,23814,1142,16579,1983,17,4
1743,44,C,4334,9213,898,32641,1775,14,3
1744,30,A,4445,24333,659,40461,2098,14,3
1745,38,E,8137,65620,1642,40340,1541,21,7
1746,45,A,3905,20895,802,34221,1942,13,2
1747,44,B,5896,29188,1323,22764,2034,20,4
1748,51,C,2955,9961,742,25245,1788,16,2
1749,54,D,2280,4405,498,16800,1539,14,1
1750,34,B,6302,6953,1046,35253,1725,15,5
1751,32,C,3630,4141,809,31589,1589,12,3
1752,50,B,6454,18297,1245,28515,1785,14,5
1753,41,D,2969,6848,462,37117,1198,12,2
1754,39,D,2775,4738,560,24113,2260,9,1
1755,27,A,4713,28816,971,23639,1744,14,3
1756,33,D,3331,6489,493,38735,1605,12,2
1757,45,C,3769,5728,796,31299,2098,14,2
1758,33,B,6220,15289,1334,25276,1799,17,5
1759,26,B,7521,22976,1108,27728,1499,20,7
1760,44,C,4103,1802,610,41599,2019,16,3
1761,37,B,8531,23074,1139,35820,1515,16,8
1762,37,A,5029,28695,767,39927,1872,15,4
1763,33,E,8310,43699,2054,36037,1262,16,8
1764,64,B,7542,15273,1285,23526,1261,16,7
1765,46,A,5374,21286,711,20216,1810,19,4
1766,29,D,2244,4022,405,32648,2316,15,0
1767,40,A,4885,37911,1094,31702,1544,15,4
1768,33,C,4196,5067,790,39309,1701,15,3
1769,60,D,2863,5038,453,42090,1947,13,1
1770,43,B,7469,22109,1108,27505,1669,16,6
1771,40,D,2896,5051,501,28393,2264,12,1
1772,31,B,6239,27426,1273,16853,1806,17,5
1773,46,D,2725,5346,590,26796,2396,14,1
1774,41,D,2211,4175,490,25585,1469,13,1
1775,52,C,3172,3636,652,32123,1406,15,2
1776,46,E,8039,71663,2025,18410,1678,21,7
1777,30,B,6828,19051,1098,18866,1492,16,6
1778,41,A,4391,12087,761,16822,1145,16,4
1779,39,E,7254,38388,2053,34463,1433,20,6
1780,36,D,3109,4494,494,19335,1632,11,2
1781,55,B,6152,4903,1228,23409,1704,17,5
1782,62,D,1894,3673,468,31844,1924,11,0
1783,62,A,4691,13218,751,38620,2292,17,3
1784,53,B,9057,20024,1136,17973,589,18,9
1785,35,C,3861,7005,774,36632,2011,16,2
1786,45,D,3139,6384,483,40227,1942,14,2
1787,52,D,2785,4774,620,39951,1345,11,2
1788,32,B,6742,19322,1267,42096,1857,22,5
1789,64,A,6002,36281,957,37276,2047,18,4
1790,51,C,3508,11147,919,17224,1736,13,2
1791,43,E,7382,41033,1863,19134,1358,20,7
1792,39,D,3807,5967,587,37531,1960,14,2
1793,35,D,2547,6436,488,30507,2096,13,1
1794,48,C,3590,9532,934,15962,1507,11,3
1795,13,B,6384,21779,1280,30493,1574,21,5
1796,44,B,6702,21644,1287,37158,1393,16,6
1797,42,D,3298,6222,423,38447,1731,16,2
1798,46,A,5555,21601,1102,16979,1743,17,4
1799,48,C,3503,15430,925,30545,774,13,3
1800,48,A,4970,26199,1115,18399,1187,18,4
1801,29,A,5450,29616,998,33598,1473,17,4
1802,31,C,3467,10688,844,39610,1400,14,3
1803,58,C,2990,6155,954,41047,1374,13,2
1804,53,C,3097,4186,812,34581,1959,14,2
1805,37,A,4778,25954,1000,31881,1557,17,4
1806,52,D,2058,3787,495,38332,2031,13,1
1807,44,B,6460,9686,1166,17951,1437,16,6
1808,45,B,6370,19980,1075,24929,1756,16,5
1809,12,B,5542,12342,1288,36675,1323,16,5
1810,38,D,3778,7177,565,25493,1549,11,3
1811,54,D,2085,3982,525,35832,1977,14,1
1812,46,E,7982,33234,2038,23172,2182,20,6
1813,51,D,2543,6351,522,27710,1712,9,1
1814,42,E,8277,33763,1436,20503,2395,18,6
1815,31,C,3446,9195,910,15930,2127,16,2
1816,25,D,3335,3343,406,18183,2045,13,2
1817,38,D,2802,5350,482,16635,1596,13,2
1818,35,C,3364,9632,703,28819,1460,13,2
1819,40,C,3783,5490,653,31212,1367,18,3
1820,38,D,3007,2709,510,36198,1659,10,2
1821,47,C,3389,9352,825,22707,1690,15,2
1822,24,E,8487,84255,1987,27219,1198,14,8
1823,51,E,8185,39671,1658,33778,1492,15,7
1824,44,D,2443,4353,455,30289,1561,14,1
1825,46,E,6230,41337,1539,35780,1840,17,5
1826,46,D,2107,3878,483,39346,1439,10,1
1827,38,D,2616,4308,524,40924,2265,14,1
1828,32,E,7835,36558,1883,40573,973,17,7
1829,33,C,3607,12973,678,39873,1619,14,2
1830,26,B,4968,10917,1084,26848,1860,14,4
1831,39,E,8035,40673,1430,19356,1665,22,7
1832,47,E,7978,25729,2068,36227,1587,21,7
1833,24,D,2576,3820,480,33440,1612,16,1
1834,34,E,8193,69200,1565,35143,1788,23,7
1835,40,C,3699,14948,786,22095,1397,17,3
1836,29,D,1017,1455,493,21673,2216,14,0
1837,25,D,2655,5156,474,16787,1735,16,1
1838,54,C,3089,7584,906,16906,1254,15,2
1839,45,E,9208,10830,1390,24147,910,20,9
1840,41,A,4985,15257,1222,28847,1785,21,4
1841,41,E,7999,18630,1857,37550,1584,20,7
1842,34,B,6258,19316,1246,33590,1741,18,5
1843,37,D,2121,4298,487,24882,2040,13,1
1844,58,E,7759,32913,1915,38372,1778,23,6
1845,45,E,7654,46385,1837,40399,1908,19,6
1846,52,E,7868,76835,1287,40829,1745,20,7
1847,52,A,4928,11934,997,38101,1866,20,4
1848,57,C,3594,7695,878,17191,1226,13,3
1849,56,C,3941,8329,782,16003,1431,14,3
1850,41,B,8517,28071,1132,29676,1949,19,7
1851,47,E,9055,58069,1325,33174,2088,20,7
1852,50,A,5719,33499,1248,39276,1400,15,5
1853,46,E,7949,64604,1669,20434,2116,18,6
1854,35,A,4293,25422,906,36927,1706,13,3
1855,54,A,4404,26826,1492,35420,2077,17,3
1856,51,B,8010,26707,1172,40078,1698,17,7
1857,42,C,3844,14629,845,40097,1527,13,3
1858,34,A,4610,23462,1088,33942,1264,18,4
1859,35,C,3495,5405,854,39430,1759,13,2
1860,65,B,5871,28931,1252,28216,1548,16,5
1861,42,A,4822,19760,751,40754,1620,15,4
1862,44,B,6446,26302,1338,32915,2038,20,5
1863,29,A,5274,24129,876,34849,1601,17,4
1864,39,C,4016,15047,813,36853,2249,14,2
1865,51,C,3491,8899,871,31713,1847,13,2
1866,34,C,3515,4438,789,17495,1414,17,3
1867,64,D,2755,5773,479,41335,2328,13,1
1868,34,D,2154,4264,542,26367,1449,11,1
1869,50,D,1939,4083,422,21097,1672,10,1
1870,53,E,7835,52812,2001,38123,1702,19,7
1871,42,C,3411,905,943,20127,2082,14,2
1872,24,E,8085,48281,1252,33898,1000,19,8
1873,24,A,5043,14103,1068,34469,1066,19,4
1874,36,A,4635,21932,1236,31482,1968,16,3
1875,31,B,7900,25500,1179,31103,1900,16,6
1876,36,A,5457,11809,1323,39647,1774,17,4
1877,42,C,2991,1610,846,25001,1866,15,2
1878,44,A,5321,33438,1075,32998,1808,18,4
1879,36,C,3297,6348,793,23333,1568,15,2
1880,26,D,2632,5887,496,24525,1937,10,1
1881,39,D,2304,6130,499,26324,2009,10,1
1882,25,D,2456,5827,454,16625,1703,13,1
1883,55,D,2573,5350,509,16488,1299,11,2
1884,35,B,7526,1463,1016,27017,1866,15,6
1885,30,C,3203,12114,790,20132,1932,14,2
1886,33,A,4258,20840,958,26123,1603,17,3
1887,35,C,3219,11117,904,29286,1885,17,2
1888,34,C,3159,12481,712,27217,1960,12,2
1889,34,A,4472,23849,753,22887,1347,14,4
1890,30,A,5171,31009,1066,37343,1253,17,4
1891,53,A,4233,13579,856,30803,1894,17,3
1892,26,D,2105,4476,466,16083,1442,14,1
1893,44,A,4889,35929,1495,17268,1640,14,4
1894,35,E,7624,53346,2033,35310,1850,22,6
1895,45,A,5682,22994,1103,25824,1520,18,5
1896,31,A,5467,23355,663,33850,1336,16,5
1897,32,C,2837,2627,633,20430,1558,14,2
1898,44,D,2937,7334,443,16297,1858,12,2
1899,29,C,3535,3925,641,36154,1409,16,3
1900,36,C,3035,8976,731,33934,1904,18,2
1901,33,E,8618,64217,1777,28032,1534,17,8
1902,36,D,2571,7238,485,40799,1503,12,2
1903,57,A,4734,13781,883,16316,1971,20,3
1904,53,E,9194,80192,1515,17621,1648,18,8
1905,44,D,2571,4421,549,38135,1577,13,1
1906,48,C,3765,11278,1100,17375,2375,15,2
1907,35,D,3129,7023,509,39268,1678,15,2
1908,41,D,1360,3375,453,39983,1522,12,0
1909,25,B,6925,30987,1132,24947,1924,17,6
1910,49,E,6929,89734,1678,37080,1368,23,6
1911,28,B,8093,18711,1100,32975,1869,17,7
1912,58,C,4143,24165,609,20005,1619,18,3
1913,33,C,3520,7156,661,22014,1894,18,2
1914,53,A,4982,17503,1051,29476,1861,18,4
1915,49,E,7810,15708,1667,37053,2105,21,6
1916,37,B,8722,32452,1045,32190,2067,17,7
1917,43,C,3237,847,1069,29349,2215,12,2
1918,47,A,5077,17708,670,36894,1339,17,4
1919,36,E,8901,99589,2412,26268,1876,19,8
1920,32,D,3531,9380,452,40677,1968,11,2
1921,31,D,3219,4659,488,20666,1847,14,2
1922,31,A,4720,25956,1081,28061,1559,20,4
1923,31,A,6242,43099,880,32599,1260,16,5
1924,26,D,3864,7035,535,27461,1036,11,3
1925,38,B,7945,37129,1101,19815,1533,14,7
1926,35,E,7480,22762,1116,25537,1422,18,7
1927,40,B,7207,32711,1053,17560,1568,15,6
1928,32,C,3395,11861,823,28302,1741,14,2
1929,38,B,8321,23969,1196,20213,1720,18,7
1930,41,D,3606,7935,443,38852,2132,12,2
1931,29,E,6877,56468,1959,40984,1302,19,6
1932,38,C,3804,54,818,39783,1261,17,3
1933,61,A,4998,20502,850,19144,1596,15,4
1934,29,E,8476,21708,946,36899,1558,18,7
1935,48,A,5361,25712,1185,39265,1389,19,4
1936,37,E,8403,22516,1914,28457,971,14,8
1937,43,C,3035,7975,651,40184,2200,15,1
1938,27,D,2535,5648,493,35789,2363,14,1
1939,61,C,4597,3750,696,34856,2064,13,3
1940,29,A,4053,17361,1225,30464,1525,14,3
1941,38,C,3450,9096,805,25895,2129,16,2
1942,28,D,2160,3928,487,24074,2196,10,0
1943,61,C,4139,8311,493,24330,1473,12,3
1944,40,E,6537,26795,2512,19134,2436,21,5
1945,45,B,6609,22317,1206,19930,1696,18,5
1946,45,E,6919,40841,1785,28077,1701,17,6
1947,54,D,2069,3328,452,20412,1890,11,1
1948,38,E,9038,50957,1306,34211,1212,16,8
1949,53,D,2813,5768,586,20567,2329,10,1
1950,45,E,7520,49086,1470,32524,1819,14,6
1951,45,D,2487,4174,534,39689,2191,14,1
1952,38,E,7192,32137,1459,29981,1816,17,6
1953,47,D,2720,5893,439,21542,1387,13,2
1954,46,C,3604,1096,763,36494,1913,13,2
1955,25,B,6827,17106,1256,30500,1715,19,6
1956,41,D,2821,7009,478,24644,1769,11,2
1957,27,D,4038,6979,519,16659,1682,12,3
1958,36,E,7810,8869,1505,32047,1853,19,6
1959,37,E,9143,30219,1289,25206,2077,16,8
1960,36,A,4570,28554,974,21581,1525,13,4
1961,42,E,8409,55955,1836,29953,2006,22,7
1962,36,D,1997,4651,581,17967,1151,13,1
1963,31,B,7027,4950,1098,24517,1669,18,6
1964,31,A,5577,39482,1123,16892,2238,17,4
1965,40,E,7972,19430,1291,20451,1611,16,7
1966,39,B,6618,28807,1188,40221,1047,13,6
1967,43,A,5402,31398,1180,20219,1876,17,4
1968,36,C,3794,9765,915,32166,2323,17,2
1969,32,B,5801,10799,1104,34247,1492,17,5
1970,43,D,2786,6010,483,34228,1815,12,1
1971,36,D,2233,4007,545,30878,1486,10,1
1972,53,D,2022,4166,527,23759,1500,10,1
1973,19,D,1387,2237,514,39149,1562,14,0
1974,31,D,2196,3854,438,34712,1511,18,1
1975,39,E,8251,60678,2034,22597,2064,17,7
1976,52,C,2916,1818,969,32049,2075,15,1
1977,22,D,3318,3938,558,22464,1825,14,2
1978,32,A,5260,11546,1473,34071,1865,17,4
1979,34,A,5910,9562,923,25029,1703,19,5
1980,34,E,8538,41922,1714,23325,1180,14,8
1981,74,D,4013,9099,521,19025,1557,11,3
1982,37,B,7199,20499,1219,32129,1834,14,6
1983,39,D,2942,6778,554,17553,1286,14,2
1984,35,A,5398,30505,669,25234,2166,14,4
1985,44,B,7709,14612,1192,21907,1530,16,7
1986,49,D,3095,7086,549,25164,1939,18,2
1987,37,A,4680,21336,821,36485,1295,17,4
1988,36,A,4249,22055,781,18842,1273,12,3
1989,42,A,4088,29575,779,35404,1630,15,3
1990,40,C,3103,9655,604,30962,1611,18,2
1991,30,D,2544,5838,499,23407,1524,16,2
1992,39,D,3144,6605,568,17224,1123,10,3
1993,42,C,3090,6770,892,28097,1509,15,2
1994,24,D,3006,5785,494,27870,1636,15,2
1995,49,E,7328,15365,2064,33054,1667,15,6
1996,42,E,8878,76894,1414,39807,2037,17,7
1997,44,D,2828,4139,524,29156,1721,9,2
1998,31,D,3452,6617,472,41591,1549,14,2
1999,76,A,4785,17582,1324,17606,1685,17,4
2000,41,A,5849,22308,777,26202,1222,18,5
2001,42,A,4662,16317,889,23487,1648,16,4
2002,28,E,8526,82163,1873,30251,1516,17,8
2003,40,E,7528,25991,1452,18033,1813,20,6
2004,28,A,4825,29908,894,39778,2399,17,3
2005,52,A,5632,33850,1213,30310,1770,19,4
2006,45,B,9001,19236,1185,28858,1308,16,8
2007,28,C,3491,5857,748,15864,1119,15,3
2008,44,C,3474,2496,892,41217,2034,14,2
2009,36,C,3354,1679,852,22550,1840,16,2
2010,49,E,7706,17320,1387,33018,2179,19,6
2011,44,C,2866,9283,523,33614,1842,16,2
2012,31,B,7053,25221,1152,20039,1830,22,6
2013,47,D,2680,5796,498,40214,1785,10,1
2014,45,A,3677,10011,838,24695,1194,14,3
2015,65,B,7402,34577,1070,41711,2328,18,6
2016,30,B,6172,9178,1230,42017,1679,18,5
2017,34,A,4909,26597,939,20970,1606,17,4
2018,29,B,7163,27486,1288,28348,1348,16,6
2019,44,E,7459,30749,1353,17953,1473,20,6
2020,59,C,3492,5318,878,40910,1644,14,2
2021,58,C,3637,2115,724,33440,1696,12,2
2022,39,D,3422,7212,526,28179,1023,13,3
2023,45,B,7664,26823,1059,40734,1086,19,7
2024,36,D,3353,8618,486,19750,1346,13,3
2025,41,B,7171,28610,1407,20838,2131,18,6
2026,49,A,4581,24389,1084,18695,1427,16,4
2027,42,E,8690,64885,1787,17015,849,21,8
2028,27,E,7894,73834,1476,32313,1463,19,7
2029,46,E,9469,14364,1708,30826,1738,18,8
2030,21,B,8456,53461,1394,17265,1163,18,8
2031,24,A,5090,31112,814,39082,1524,16,4
2032,32,E,8971,72692,1622,26546,1808,19,8
2033,51,B,5176,17036,1111,18522,1555,17,4
2034,33,D,2117,2308,516,41769,1562,17,1
2035,32,A,5065,25491,929,17787,2289,16,3
2036,45,D,1836,3643,519,18507,1562,12,1
2037,35,A,4411,30742,969,38016,2175,15,3
2038,38,E,9409,47806,2076,29157,1493,16,8
2039,23,C,3891,6145,785,20025,1538,12,3
2040,41,E,7285,33345,1943,29660,1261,17,7
2041,41,A,4707,20203,813,21903,1256,17,4
2042,49,A,5004,21445,1306,16339,1623,17,4
2043,52,D,1755,4043,492,19288,1603,13,1
2044,38,B,7242,22931,1165,28147,1630,20,6
2045,35,B,6459,16346,1229,35990,1485,17,5
2046,52,D,3122,6177,555,34633,1431,12,2
2047,39,C,3903,1574,750,38647,1917,13,2
2048,33,B,8639,29306,1124,39128,1752,16,7
2049,46,A,4897,20716,1164,20421,1552,19,4
2050,44,B,6153,17220,1363,25738,1471,18,5
2051,50,E,9132,28703,1134,26890,2288,20,7
2052,42,E,8490,49336,2362,35988,1691,14,7
2053,28,E,8493,46362,2177,32913,1691,18,7
2054,52,B,7389,14471,1129,18179,1986,19,6
2055,43,E,9059,16953,1207,20980,1818,20,8
2056,42,A,4017,11402,954,24763,1070,17,3
2057,49,C,3372,12141,955,38922,1491,16,2
2058,43,B,7208,15096,1153,41213,1954,15,6
2059,45,B,5315,25940,1219,38347,1812,18,4
2060,34,A,4923,18754,1108,20430,1807,14,4
2061,48,B,7326,20098,1204,27057,1818,16,6
2062,42,A,4725,27713,886,39948,1516,17,4
2063,41,C,3731,2090,847,21305,1740,14,2
2064,28,B,8800,21224,1174,18949,1962,13,7
2065,34,B,5766,25847,1163,35519,1110,20,5
2066,67,C,3554,10809,584,39229,1506,15,3
2067,59,E,9398,113621,1869,41884,1883,15,8
2068,47,D,4025,6801,544,19575,1227,12,3
2069,39,E,7175,57614,1620,36263,1850,20,6
2070,44,A,4410,27971,1161,33615,1039,18,4
2071,37,E,7057,60878,2171,23520,1375,16,6
2072,50,D,2990,8234,501,28540,1767,14,2
2073,39,E,8587,67182,1522,27697,659,22,8
2074,46,C,3440,12783,700,16351,2294,17,2
2075,49,A,4608,11446,1098,34548,1511,20,4
2076,34,B,8583,32873,1214,37470,1970,18,7
2077,40,A,4206,21528,953,34119,1091,16,4
2078,17,D,3028,6393,426,25268,1699,11,2
2079,15,B,7557,14380,1004,30088,1745,16,6
2080,41,B,5727,14027,1166,17372,2266,17,4
2081,54,D,3851,8214,504,35001,2227,11,2
2082,60,A,5825,29511,1261,29188,1753,16,5
2083,36,D,2826,5228,479,27705,1751,12,2
2084,45,E,8155,85400,1645,20496,1558,20,7
2085,37,C,3579,9919,939,23577,1108,12,3
2086,43,E,9399,35814,1800,20115,1680,22,8
2087,35,B,8291,27771,1170,23775,1327,17,7
2088,20,A,4734,26075,1037,23375,1207,19,4
2089,47,D,2562,7319,480,20564,2097,11,1
2090,50,A,5063,23997,894,32243,1858,15,4
2091,50,B,8527,14565,1287,32212,1046,16,8
2092,57,D,3008,7584,527,42006,1880,12,2
2093,48,E,7515,41041,1169,33178,1610,19,6
2094,51,D,1320,2448,508,38514,2224,12,0
2095,47,B,8484,15259,1254,22437,1897,18,7
2096,41,E,8925,42659,1581,36687,1702,20,8
2097,46,A,5711,44089,1153,35924,1856,15,4
2098,13,D,1637,4058,464,29313,1167,13,
2099,51,D,2357,4468,561,26350,2435,11,0
2100,27,A,5300,29746,1462,23578,1801,18,4
2101,30,D,1211,2262,502,23937,747,14,1
2102,30,D,2989,7861,557,39258,1535,12,2
2103,45,A,5291,16832,911,35400,1360,19,4
2104,42,B,7656,17291,1165,34265,1582,14,7
2105,25,C,3675,9602,710,34532,1929,14,2
2106,44,B,7096,19748,1147,36621,1829,17,6
2107,49,E,9231,89169,1187,34643,1361,20,8
2108,36,E,8295,63036,1087,30332,1952,16,7
2109,35,D,1841,2671,517,41111,1354,13,1
2110,38,C,3146,4320,857,28326,1447,11,2
2111,48,D,3561,6133,405,17723,1849,14,2
2112,43,D,2978,4403,426,18559,1710,13,2
2113,43,C,3460,4905,790,24347,1700,16,2
2114,52,B,4784,12935,1342,37186,2099,15,3
2115,50,D,1904,3087,621,41842,1913,15,
2116,37,D,2308,2540,550,21675,1402,14,1
2117,29,A,4168,31446,855,25121,2144,17,3
2118,18,A,5035,19596,939,37274,1538,17,4
2119,62,E,6995,58093,1650,16759,2360,15,5
2120,52,E,8036,83887,1755,16479,1351,17,7
2121,47,D,888,2641,486,39279,1737,13,0
2122,30,E,8615,79165,1596,32035,1611,19,8
2123,35,B,6694,20308,1433,16781,1880,17,5
2124,51,A,4567,25192,961,20651,1733,14,3
2125,38,D,1549,1865,571,42043,1987,10,0
2126,22,B,6749,4790,1140,40892,2022,15,5
2127,43,A,5480,44960,875,35666,2134,17,4
2128,26,C,4198,11142,863,30241,1808,15,3
2129,59,C,4275,6069,811,20503,1350,14,3
2130,30,E,8660,53876,1575,23514,1958,19,7
2131,22,A,5092,16482,753,24142,1472,18,4
2132,39,C,3781,7732,997,33690,2283,15,2
2133,33,C,3624,13978,678,41358,2240,18,2
2134,51,B,7561,31690,1011,30609,1659,14,6
2135,41,C,3691,5474,810,33427,1535,14,3
2136,43,B,6190,18948,1153,16439,1287,18,5
2137,57,E,7959,50307,1782,34514,2249,18,6
2138,45,E,7980,50409,1493,16404,1544,19,7
2139,50,E,7761,34228,2034,32117,1761,18,6
2140,38,C,4751,108,667,30276,1124,14,4
2141,23,E,6264,14515,1436,17575,1879,15,5
2142,34,D,2466,3876,566,41603,1751,13,1
2143,51,E,8690,59245,1604,23155,1642,17,8
2144,44,A,5181,13670,1094,40308,1979,17,4
2145,17,E,7506,48152,1737,24265,1659,21,6
2146,20,E,7257,56169,1812,39044,1731,20,6
2147,49,C,4069,9463,831,40673,1822,12,3
2148,27,E,8988,44620,1362,17790,2056,19,7
2149,38,A,4778,24696,1249,25716,1370,13,4
2150,54,E,8835,54899,2062,15862,1727,18,8
2151,45,E,8737,71044,1450,36276,1665,18,8
2152,48,E,7670,4295,1868,22159,1444,18,7
2153,40,E,7718,42425,1574,29374,2124,17,6
2154,39,C,2687,3720,794,39933,1487,14,2
2155,32,A,5422,18345,1042,36782,1215,15,
2156,53,A,5230,21471,949,25201,1786,18,4
2157,57,C,3353,4695,730,27711,1600,17,2
2158,37,A,5100,19844,1014,19895,1883,15,4
2159,42,A,5585,37031,1116,20210,1233,16,5
2160,43,A,5035,30877,1080,29354,1983,16,4
2161,41,D,3251,3921,586,35759,1909,11,2
2162,48,D,2183,4988,562,17576,1909,14,1
2163,42,D,2001,4248,551,28939,1616,17,1
2164,46,A,5016,31218,1304,29446,1289,16,4
2165,44,B,6922,17718,1029,29348,1783,16,6
2166,43,D,2243,7825,548,30636,1856,15,1
2167,53,A,6076,28978,1027,27728,1427,18,5
2168,25,D,2351,7122,496,19990,2111,15,1
